word,meaning,source,,word_type,gender,direct translation
wilominahoth,stage [wilomina=act/perform + hoth=place]     {AB},new,,place,,
wíná,"gratitude for no reason, to be grateful (see: wéhená, wéná, wóná, wúná)     {orig}",orig,,pos emotion,,no
wírabanenath,"abortion, to abort, have an abortion [wí+raban+ena+th]     {CF}",new,,sex,fem,
wish,"gas (oxygen, nitrogen, etc.)     {orig}",orig,,material,,
with,"person, woman, adult ; to specify a male person, add the masculine suffix ‘-id’     {orig}",orig,,person,fem,
withelhebe,"misogyny, hatred of women     {Grammar Updates: MLM}",new,,neg emotion,,
withid,"man, male person [with=person + -id=suffix for male]     {orig}",orig,,person,masc,
withidetho,male-identified     {SH},new,,,masc,
wíyaáláan,respiration rate [wíyul=to breathe + aáláan=wave]     {SH},new,,health,,
wíyul,to breathe [wí=life + yul=wind]     {SH},new,,,,
wíyuleth,breath,blank,,,,
wo,"imagined or invented by speaker, hypothetical, imagined or invented by X, hypothetical (evidence morpheme)     {orig}",orig,,grammar,,
wóbáan,to bring to birth (the activity of a midwife or other person helping with the delivery of an infant),blank,,,,no
woban,"birth (noun) (origin, beginning)     {orig}",orig,,,,
wobanedan,"native tongue, birth language [woban=birth + (e)dan=language]",blank,,,,
wobaneya,birth (time) ‘at birth’ (at the time she was born) [woban=birth + -(e)ya=suffix for case marker time],blank,,,,no
wod,to sit     {orig},orig,,,,
wodama,"genitalia (female, outer) [wo+dama]     {SH}",new,,sex,fem,
wodazhud,matrix (in geology)     {SH},new,,,,
wodehahdo,"meditate, to meditate, sit in a meditative state [wod=sit + hahodo=medatative state of consciousness]     {new}",new,,,,
woho,"all, every (don’t change form or add case marker)     {orig}",orig,,grammar,,
wohóoha,"scene, view, experience of a place [woho+hóo+ha]",blank,,,,
wohóol,"genitalia (female, all) all female genitalia & reproductive oragans [wo+óol]     {SH}",new,,sex,fem,
wohosheni,"a word meaning the opposite of alienation; to feel joined to, part of someone or something without reservations or barriers [woho=all; sheni=intersection]     {orig}",orig,,,,no
wohothul,"foremother, ancestor [woho=all + thul=parent]     {orig}",orig,,person,fem,
wohothulewoth,foremother wisdom [wohothul=foremother + (e)woth=wisdom]     {new},new,,,fem,no
wom,throat     {orig},orig,,body,,
womedim,neck (body part) [wom=throat + dim=container]     {orig},orig,,body,,
womil,livestock     {orig},orig,,animal,,
womilá,breeder of animals [womil=livestock + -á=suffix for doer],blank,,person,,
won,handicap     {orig},orig,,,,
wóná,"gratitude for foolish reasons, to be grateful (see: wéhená, wéná, wíná, wúná)     {orig}",orig,,neg emotion,,no
wonewith,to be socially dyslexic; uncomprehending of the social signals of others [won=handicap + with=person]     {orig},orig,,neg emotion,,no
wóo,"speaker has total lack of knowledge as to the validity, indicates that X states a total lack of know ledge as to the validity of the matter (evidence morpheme)     {orig}",orig,,grammar,,
wóoban,"to give birth, to bear     {orig}",orig,,,,
wóobaná,birth-giver [wóoban=to give birth + -á=suffix for doer]     {orig},orig,,person,fem,no
wóoya,womb     {Grammar Updates},new,,"sex, body",fem,
woth,wisdom     {orig},orig,,,,
wothá,"sage, wise person [woth+á]     {orig}",orig,,person,,
wothemid,mule [woth+mid wisdom-creature]     {orig},orig,,animal,,
wothesh,sage (the herb) [woth=wisdon + thesh=herb]     {SH},new,,food,,
wu,"such a…, what a…     {orig}",orig,,grammar,,
wud,"part (of a machine, etc)     {orig}",orig,,,,
wuman,summer     {orig},orig,,time,,
wúná,"gratitude for bad reasons, to be grateful (see: wúná, wéhená, wéná, wíná, wóná)     {orig}",orig,,neg emotion,,no
wush,broom     {orig},orig,,object,,
yáalin,kelp     {SH},new,,plant,,
yáamid,"teenage animal, older but not full-grown creature [yáa-=teenage + mid=animal] (see ámid, háamid)",blank,,animal,,no
yáanin,tree     {orig},orig,,plant,,
yáawith,"teenager, older but not full-grown person [yáa-=teenage + with=person] (see áwith, háawith)",blank,,,,
yáazh,goose     {CH},new,,animal,,
yada,"thirst, to thirst, to be thirsty, thirsting     {orig}",orig,,,,
yahanesh,"magic, enchantment     {orig}",orig,,,,
yahaneshá,"witch, magic-maker     {Grammar Updates: CF}",new,,,,
yam,baking dish     {orig},orig,,,,
yan,"analysis, to analyze     {orig}",orig,,,,
yazh,duck     {CH},new,,animal,,
yeb,kidney     {orig},orig,,body,,
yed,valley     {orig},orig,,place,,
yem,sour (to taste)     {orig},orig,,sense,,
yen,hat     {orig},orig,,clothes,,
yéshile,to be bad and good     {orig},orig,,,,
yeth,silver     {orig},orig,,"material, color",,
yib,solid (as opposed to gas or liquid)     {CH},new,,,,
yibom,wax [yib=solid + bom=oil]     {CH},new,,material,,
yidan,mercy     {orig},orig,,,,
yide,"to hunger, hungry     {orig}",orig,,,,
yil,"to be under, below     {orig}",orig,,,,
Yilesháal,Saturday [yil+sháal Below Day]     {orig},orig,,time,,
yime,"run, to run     {CH}",new,,,,
yo,spaceship     {orig},orig,,object,,
yob,coffee     {orig},orig,,food,,
yod,to eat     {orig},orig,,,,
yoda,spaceliner [yo=spaceship]     {orig},orig,,,,
yodá,"diner, one who eats [yod=to eat]     {orig}",orig,,person,,
yodálh,glutton [yodá=diner + lh=negative connotation]     {orig},orig,,person,,
yom,"safe, secure     {orig}",orig,,,,
yomedim,trunk (for storage) [yom=safe + dim=container]     {orig},orig,,object,,
yon,government     {orig},orig,,,,
yoth,will of mind (theological)     {orig},orig,,spirituality,,no
yu,fruit     {orig},orig,,food,,
yudáan,morpheme,blank,,,,
yuhoya,"peel, peeling (noun) [yu=friut + (h)oya=skin]     {SH}",new,,,,
yul,wind     {orig},orig,,nature,,
yulehul,hurricane [yul=wind + -hul=suffix denoting to an extreme degree]     {orig},orig,,nature,,
yulish,feather [yul=wind + ishid=finger]     {SH},new,,object,,
yuloma,wing [yul=wind + oma=hand]     {new},new,,body,,
yum,beetle     {orig},orig,,animal,,
yumal,nut,blank,,food,,
yun,orange (the fruit)     {orig},orig,,food,,
yurana,cordial (the beverage) [yu=fruit + rana=drink]     {orig},orig,,food,,
yushoya,rind [yu=fruit + shoya=hide]     {SH},new,,food,,
zha,name     {orig},orig,,,,
zháa,wrinkle (in skin)     {orig},orig,,body,,no
zháadin,to menopause [zháa=wrinkle]     {orig},orig,,sex,fem,
zháadinebúlith,menopause induced insanity [zháadin=menopause + (e) + búlith=insanity]     {new},new,,neg emotion,fem,no
zháahóowadin,"hot flash (menopause symptom) [zháadin=menopause + óowa=fire]     {LA, AB}",new,,,fem,
zhab,"enigma, puzzle     {orig}",orig,,,,
zhala,"regret with reason, with blame, and not futile (see: zhala, zhama, zhana, zhara, zhina)     {orig}",orig,,neg emotion,,no
zhaláad,the act of relinquishing a cherished/ comforting/familiar illusion or frame of perception [zha=name + láad=to perceive]     {orig},orig,,,,no
zhama,"regret with reason, but with no blame, and futile (see: zhala, zhana, zhara, zhina)",blank,,neg emotion,,no
zhana,"regret with reason, but with no blame and not futile (see: zhala, zhama, zhara, zhina)",blank,,neg emotion,,no
zhara,"regret with reason, with blame, and futile (see: zhala, zhama, zhana, zhina)",blank,,neg emotion,,no
zhazh,airplane     {orig},orig,,,,
zhe,"to be like, as, similar     {orig}",orig,,,,
zhebom,"fat, grease [zhe=like + bom=oil]     {SH}",new,,food,,
zhedal,"metaphor, simile [zhe=like + dal=thing]     {new}",new,,,,
zhedam,resemble; be reminiscent of [zhe=similar + dam=show signs of state or emotion]     {AB},new,,,,
zhedi,"agree, to agree verbally [zhe=alike + di=speak] (see also:zhelith, zheshub, zheláad, zhethob)     {AB}",new,,,,
zhehá,identical sibling [zhe=like + -á=suffix for doer],blank,,relationship,,no
zheláad,"consensus, to consense [zhe=alike + láad=perceive] (see also:zhelith, zhedi, zheshub, zhethob)     {AB}",new,,,,
zheledal,"self, identity [zhe=like + le=me + dal=thing]     {SH}",new,,,,
zheledam,persona [zhe=like + le=me + dam=seem]     {SH},new,,,,
zhelehal,work identity [zhe=like + le=me + hal=work]     {SH},new,,,,no
zhelith,"agree, to think the same [zhe=alike + lith=think] (see also: zhedi, zheshub, zheláad, zhethob)     {AB}",new,,,,
zhesháana,"to menstruate in sync with another woman, menstruation [zhe=like +sháana]",blank,,sex,fem,no
Zheshu,Jesus of Nazareth (loan word)     {orig},orig,,person,masc,
zheshub,"cooperation, to cooperate [zhe=alike + shub=do] (see also:zhelith, zhedi, zheláad, zhethob)     {AB}",new,,personal action,,
zhethalel,to police; to act as police [zhethal=just(ice) + el=make]     {AB},new,,personal action,,
zhethalelá,police officer [zhethal=just(ice) + -á =doer/maker]     {AB},new,,person,,
zhethob,"agreement, written agreement [zhe=alike + thob=write] (see also:zhelith, zhedi, zheshub, zheláad)     {AB}",new,,relationship,,
zhilhad,prisoner     {orig},orig,,person,,
zhina,"regret without reason or blame, not futile (see: zhala, zhama, zhana, zhara)",blank,,neg emotion,,no
zho,sound (audible)     {orig},orig,,sense,,
zhob,machine     {orig},orig,,object,,
zholh,noise [zho=sound + lh=negative connotation]     {orig},orig,,sense,,
zhomid,bee [zho=sound + mid=creature]     {orig},orig,,animal,,
zhonal,aloud [zho=sound + -nal=suffix for manner]     {orig},orig,,sense,,
zhorumi,echo [zho=sound + rumi=shadow]     {new},new,,sense,,
zhozhub,bee [zho=sound + zhub=insect]     {new},new,,animal,,
zhu,tea     {orig},orig,,food,,
zhub,insect     {orig},orig,,animal,,
zhuth,piano     {orig},orig,,culture,,
